sale_date,sale_price,bedrooms,bathrooms,living_area_sqft,lot_area_sqft,floors,waterfront,view_count,house_condition,overall_grade,above_basement_sqft,basement_sqft,house_age_years,renovation_year,zipcode,latitude,longitude,living_area_renovated_sqft,lot_area_renovated_sqft,,
10/14/2017,"221,900.00",3,1,1180,5650,1,No,None,Fair,7,1180,0,63,0,98178,47.51,-122.26,"1,340.00","5,650.00",,
12/14/2017,"538,000.00",3,2.25,2570,7242,2,No,None,Fair,7,2170,400,67,1991,98125,47.72,-122.32,"1,690.00","7,639.00",,0
2/15/2016,"180,000.00",2,1,770,10000,1,No,None,Fair,6,770,0,85,0,98028,47.74,-122.23,"2,720.00","8,062.00",,1
12/14/2017,"604,000.00",4,3,1960,5000,1,No,None,Excellent,7,1050,910,53,0,98136,47.52,-122.39,"1,360.00","5,000.00",,TRUE
2/15/2016,"510,000.00",3,2,1680,8080,1,No,None,Fair,8,1680,0,31,0,98074,47.62,-122.05,"1,800.00","7,503.00",,TRUE
5/14/2017,"1,129,575.00",4,4.5,5420,101930,1,No,None,Fair,10,3890,1530,17,0,98053,47.66,-122.01,"4,760.00","101,930.00",,TRUE
6/14/2017,"257,500.00",3,2.25,1715,6819,2,No,None,Fair,7,1715,0,23,0,98003,47.31,-122.33,"2,238.00","6,819.00",,TRUE
1/15/2016,"291,850.00",3,1.5,1060,9711,1,No,None,Fair,7,1060,0,55,0,98198,47.41,-122.32,"1,650.00","9,711.00",,TRUE
4/15/2016,"229,500.00",3,1,1780,7470,1,No,None,Fair,7,1050,730,58,0,98146,47.51,-122.34,"1,780.00","8,113.00",,TRUE
3/15/2016,"323,000.00",3,2.5,1890,6560,2,No,None,Fair,7,1890,0,15,0,98038,47.37,-122.03,"2,390.00","7,570.00",,TRUE
4/15/2016,"662,500.00",3,2.5,3560,9796,1,No,None,Fair,8,1860,1700,53,0,98007,47.60,-122.15,"2,210.00","8,925.00",,TRUE
5/14/2017,"468,000.00",2,1,1160,6000,1,No,None,Good,7,860,300,76,0,98115,47.69,-122.29,"1,330.00","6,000.00",,
5/14/2017,"310,000.00",3,1,1430,19901,1.5,No,None,Good,7,1430,0,91,0,98028,47.76,-122.23,"1,780.00","12,697.00",,
10/14/2017,"400,000.00",3,1.75,1370,9680,1,No,None,Good,7,1370,0,41,0,98074,47.61,-122.05,"1,370.00","10,208.00",,
3/15/2016,"530,000.00",5,2,1810,4850,1.5,No,None,Fair,7,1810,0,118,0,98107,47.67,-122.39,"1,360.00","4,850.00",,
1/15/2016,"650,000.00",4,3,2950,5000,2,No,Thrice,Fair,9,1980,970,39,0,98126,47.57,-122.38,"2,140.00","4,000.00",,
7/14/2017,"395,000.00",3,2,1890,14040,2,No,None,Fair,7,1890,0,24,0,98019,47.73,-121.96,"1,890.00","14,018.00",,
5/14/2017,"485,000.00",4,1,1600,4300,1.5,No,None,Good,7,1600,0,102,0,98103,47.66,-122.34,"1,610.00","4,300.00",,
12/14/2017,"189,000.00",2,1,1200,9850,1,No,None,Good,7,1200,0,97,0,98002,47.31,-122.21,"1,060.00","5,095.00",,
4/15/2016,"230,000.00",3,1,1250,9774,1,No,None,Good,7,1250,0,49,0,98003,47.33,-122.31,"1,280.00","8,850.00",,
5/14/2017,"385,000.00",4,1.75,1620,4980,1,No,None,Good,7,860,760,71,0,98133,47.70,-122.34,"1,400.00","4,980.00",,
8/14/2017,"1,129,575.00",3,2.75,3050,44867,1,No,Four,Fair,9,2330,720,50,0,98040,47.53,-122.23,"4,110.00","20,336.00",,
7/14/2017,"285,000.00",5,2.5,2270,6300,2,No,None,Fair,8,2270,0,23,0,98092,47.33,-122.17,"2,240.00","7,005.00",,
5/14/2017,"252,700.00",2,1.5,1070,9643,1,No,None,Fair,7,1070,0,33,0,98030,47.35,-122.17,"1,220.00","8,386.00",,
11/14/2017,"329,000.00",3,2.25,2450,6500,2,No,None,Good,8,2450,0,33,0,98030,47.37,-122.17,"2,200.00","6,865.00",,
11/14/2017,"233,000.00",3,2,1710,4697,1.5,No,None,Excellent,6,1710,0,77,0,98002,47.30,-122.22,"1,030.00","4,705.00",,
6/14/2017,"937,000.00",3,1.75,2450,2691,2,No,None,Fair,8,1750,700,103,0,98119,47.64,-122.36,"1,760.00","3,573.00",,
12/14/2017,"667,000.00",3,1,1400,1581,1.5,No,None,Excellent,8,1400,0,109,0,98112,47.62,-122.31,"1,860.00","3,861.00",,
6/14/2017,"438,000.00",3,1.75,1520,6380,1,No,None,Fair,7,790,730,70,0,98115,47.70,-122.30,"1,520.00","6,235.00",,
3/15/2016,"719,000.00",4,2.5,2570,7173,2,No,None,Fair,8,2570,0,13,0,98052,47.71,-122.11,"2,630.00","6,026.00",,
11/14/2017,"580,500.00",3,2.5,2320,3980,2,No,None,Fair,8,2320,0,15,0,98027,47.54,-122.07,"2,580.00","3,980.00",,
12/14/2017,"280,000.00",2,1.5,1190,1265,3,No,None,Fair,7,1190,0,13,0,98133,47.73,-122.36,"1,390.00","1,756.00",,
6/14/2017,"687,500.00",4,1.75,2330,5000,1.5,No,None,Good,7,1510,820,89,0,98117,47.68,-122.37,"1,460.00","5,000.00",,
11/14/2017,"535,000.00",3,1,1090,3000,1.5,No,None,Good,8,1090,0,89,0,98117,47.69,-122.38,"1,570.00","5,080.00",,
12/14/2017,"322,500.00",4,2.75,2060,6659,1,No,None,Fair,7,1280,780,37,0,98058,47.43,-122.16,"2,020.00","8,720.00",,
6/14/2017,"696,000.00",3,2.5,2300,3060,1.5,No,None,Fair,8,1510,790,88,2002,98115,47.68,-122.31,"1,590.00","3,264.00",,
5/14/2017,"550,000.00",4,1,1660,34848,1,No,None,Bad,5,930,730,85,0,98052,47.66,-122.13,"2,160.00","11,467.00",,
12/14/2017,"640,000.00",4,2,2360,6000,2,No,None,Good,8,2360,0,114,0,98107,47.67,-122.36,"1,730.00","4,700.00",,
2/15/2016,"240,000.00",4,1,1220,8075,1,No,None,Okay,7,890,330,49,0,98001,47.33,-122.28,"1,290.00","7,800.00",,
6/14/2017,"605,000.00",4,2.5,2620,7553,2,No,None,Fair,8,2620,0,22,0,98056,47.53,-122.18,"2,620.00","11,884.00",,
7/14/2017,"625,000.00",4,2.5,2570,5520,2,No,None,Fair,9,2570,0,18,0,98074,47.61,-122.03,"2,470.00","5,669.00",,
8/14/2017,"775,000.00",4,2.25,4220,24186,1,No,None,Fair,8,2600,1620,34,0,98166,47.45,-122.35,"2,410.00","30,617.00",,
7/14/2017,"861,990.00",5,2.75,3595,5639,2,No,None,Fair,9,3595,0,4,0,98053,47.68,-122.02,"3,625.00","5,639.00",,
10/14/2017,"685,000.00",3,1,1570,2280,2,No,None,Fair,7,1570,0,96,0,98119,47.64,-122.36,"1,580.00","2,640.00",,
7/14/2017,"309,000.00",3,1,1280,9656,1,No,None,Good,6,920,360,59,0,98058,47.45,-122.18,"1,340.00","8,808.00",,
7/14/2017,"488,000.00",3,2.5,3160,13603,2,No,None,Fair,8,3160,0,15,0,98019,47.74,-121.98,"3,050.00","9,232.00",,
3/15/2016,"210,490.00",3,1,990,8528,1,No,None,Fair,6,990,0,52,0,98023,47.31,-122.37,"1,228.00","8,840.00",,
7/14/2017,"785,000.00",4,2.5,2290,13416,2,No,None,Good,9,2290,0,37,0,98007,47.62,-122.15,"2,680.00","13,685.00",,
4/15/2016,"450,000.00",3,1.75,1250,5963,1,No,None,Good,7,1250,0,65,0,98115,47.68,-122.30,970.00,"5,100.00",,
